date,series,value,unit,source,status,n_active,dispnums
1900-10-22,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-10-22,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-10-29,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-10-29,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-11-05,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-11-05,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-11-12,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-11-12,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-11-19,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-11-19,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-11-26,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-11-26,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-12-03,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-12-03,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-12-10,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-12-10,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-12-17,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-12-17,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-12-24,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-12-24,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1900-12-31,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1900-12-31,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-01-07,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-01-07,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-01-14,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-01-14,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-01-21,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-01-21,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-01-28,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-01-28,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-02-04,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-02-04,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-02-11,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-02-11,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-02-18,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-02-18,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-02-25,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-02-25,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-03-04,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-03-04,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
