date,ff_per_100_marks,raw_ocr,source_ark,note
1911-08-05,123.688,"123 11/16",bpt6k240...,"at par (baseline)"
1911-09-02,123.500,"123 5/10 (approx 1/2)",bpt6k240597n,"at par"
1911-09-16,122.750,"122 3/4",bpt6k240...,"fallen to the lower gold point"
1911-10-14,122.875,"122 7/8 (court 122 3/4)",bpt6k240...,"weak, at gold point"
1911-10-21,122.688,"122 11/16",bpt6k240646v,"weakest; at/below gold point"
1911-11-11,123.125,"123 1/8",bpt6k240...,"recovering after the 4 Nov convention"
1911-11-25,123.375,"123 3/8",bpt6k240...,"back near par"
