date,event,consolide_4pct,russe_3pct_1891,source_quote,note
1905-01-24,Bloody Sunday aftermath,86.5,69.35,"fonds russes sont faibles; le 3 0/0 1891 à 69 35 ... contre 71 35","3% falls 71.35->69.35 on the Revolution"
1905-03-15,Mukden,87.3,72.80,"fonds russes. On a bien essaye ... de soustraire a leur in[fluence]","partial recovery"
1905-05-02,spring,87.4,73.25,"[cote]","calm"
1905-05-31,Tsushima,87.5,73.55,"fonds russes sont plus lourds: le 3 0/0 1891 de 73 60 a 73 50","naval defeat barely dents them -- already priced"
1905-07-04,summer,87.70,,"fonds russes suivent le mouvement general; le Consolide 1re et 2e series a 87 70","Consolide commentary-confirmed"
1905-09-06,Portsmouth peace,95.60,82.60,"fonds russes sont bien tenus; le Consolide 1re et 2e series a 95 60","PEACE rally -- war ending is the relief"
1905-11-01,October Manifesto,91.20,78.50,"fonds russes ... sont en hausse tres sensible ... l'etroitesse de leur marche","Manifesto rebound (from a dip)"
1905-12-05,December uprising,81.10,,"fonds russes a un moment ou la faiblesse etait deja justifiee","Moscow uprising -- crash"
1906-01-02,recovery,85.00,,"fonds russes sont en vive hausse; le Consolide 1re et 2e series a 85","order restored; the 1906 loan looms"
