product_id,name,mechanism,subcategory,material,price,width_in,depth_in,height_in,features,url,first_seen,last_seen
3720352,Laresview Oversized Manual Recliner,standard,Living Room Reclining Furniture,unknown,649.99,56 in.,42 in.,43 in.,,https://www.ashleyfurniture.com/p/laresview_oversized_recliner/3720352.html,2026-07-19T10:47:01,2026-08-18T08:53:53
6330625,Lavenhorne Manual Recliner,standard,Recliners,unknown,699.99,40 in.,42 in.,43 in.,,https://www.ashleyfurniture.com/p/lavenhorne_recliner/6330625.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U4380898,Leesworth Power Leather Recliner,standard,Recliners,leather,1099.99,41 in.,41 in.,41 in.,,https://www.ashleyfurniture.com/p/leesworth_power_recliner/U4380898.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U4380998,Leesworth Power Leather Recliner,standard,Leesworth Collection,leather,1099.99,41 in.,41 in.,41 in.,,https://www.ashleyfurniture.com/p/leesworth_power_recliner/U4380998.html,2026-07-19T20:17:17,2026-07-19T20:17:17
U600001389,Lenox Manual Push Back Recliner,standard,Recliners,unknown,768.99,31.5 in.,34.6 in.,38.2 in.,,https://www.ashleyfurniture.com/p/madison_park_julian_push_back_recliner/U600001389.html,2026-07-19T13:17:13,2026-08-21T08:47:03
A600085796,LumiSource Stanley Manual Recliner,standard,Recliners,unknown,351.99,27.5 in.,34 in.,41.5 in.,,https://www.ashleyfurniture.com/p/lumisource_stanley_manual_recliner/A600085796.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600004012,Madison Park Aidan Manual Recliner,standard,Recliners,unknown,567.99,32.25 in.,38 in.,40.5 in.,,https://www.ashleyfurniture.com/p/madison_park_aidan_manual_recliner/U600004012.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600004013,Madison Park Candace Power Recliner,standard,Recliners,unknown,538.99,30 in.,38.5 in.,39.75 in.,,https://www.ashleyfurniture.com/p/madison_park_candace_power_recliner/U600004013.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1240013,Malcesine Dual Power Leather Recliner,standard,Recliners,leather,1699.99,43.75 in.,41.5 in.,42.38 in.,,https://www.ashleyfurniture.com/p/malcesine_power_recliner/U1240013.html,2026-07-19T11:24:42,2026-08-21T08:47:03
4660425,Man Fort Manual Rocker Recliner,rocker,Recliners,unknown,449.99,33 in.,42 in.,43 in.,,https://www.ashleyfurniture.com/p/man_fort_recliner/4660425.html,2026-07-19T11:24:42,2026-08-18T08:53:53
8281625,McArlie Next-Gen Nuvella™ Performance Fabric Manual Rocker Recliner,rocker,Recliners,performance,499.99,40 in.,43 in.,43 in.,,https://www.ashleyfurniture.com/p/mcarlie_recliner/8281625.html,2026-07-19T11:24:42,2026-08-18T08:53:53
4480128,McBurg Swivel Power Recliner,glider,Recliners,unknown,649.99,34 in.,38 in.,41 in.,,https://www.ashleyfurniture.com/p/mcburg_swivel_power_recliner/4480128.html,2026-07-19T11:24:42,2026-08-21T08:47:03
1030125,McGann Manual Rocker Recliner,rocker,Recliners,unknown,499.99,41 in.,40 in.,40 in.,,https://www.ashleyfurniture.com/p/mcgann_recliner/1030125.html,2026-07-19T10:47:01,2026-08-21T08:47:03
7430561,ModMax II Manual Swivel Glider Leather Recliner,glider,Recliners,leather,999.99,41.38 in.,40.25 in.,39.75 in.,,https://www.ashleyfurniture.com/p/modmax_ii_swivel_glider_recliner/7430561.html,2026-07-19T11:24:42,2026-08-21T08:47:03
9210361,Modmax Next-Gen Nuvella™ Performance Fabric Swivel Glider Recliner,glider,Modmax Collection,performance,829.99,41.38 in.,40.25 in.,39.75 in.,,https://www.ashleyfurniture.com/p/modmax_swivel_glider_recliner/9210361.html,2026-07-19T10:47:01,2026-07-19T10:47:01
9212161,Modmax Next-Gen Nuvella™ Performance Fabric Swivel Glider Recliner,glider,Recliners,performance,829.99,41.38 in.,40.25 in.,39.75 in.,,https://www.ashleyfurniture.com/p/modmax_swivel_glider_recliner/9212161.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1210013,Momentum Moves Dual Power Leather Recliner,standard,Recliners,leather,1299.99,40 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/momentum_moves_power_recliner/U1210013.html,2026-07-19T11:24:42,2026-08-21T08:47:03
8630395,Moonrae Swivel Power Glider Recliner,glider,Recliners,unknown,999.99,51.5 in.,37.25 in.,40.75 in.,,https://www.ashleyfurniture.com/p/moonrae_swivel_power_glider_recliner/8630395.html,2026-07-19T11:24:42,2026-08-21T08:47:03
4220425,Moreau Place Manual Recliner,standard,Recliners,unknown,549.99,32 in.,39 in.,40 in.,,https://www.ashleyfurniture.com/p/moreau_place_recliner/4220425.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U6600013,Mosswell Dual Power Leather Recliner,standard,Living Room Reclining Furniture,leather,1499.99,39 in.,39.75 in.,42 in.,,https://www.ashleyfurniture.com/p/mosswell_power_recliner/U6600013.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6380229,Movie Man Oversized Manual Recliner,standard,Recliners,unknown,699.99,45 in.,43 in.,47 in.,,https://www.ashleyfurniture.com/p/movie_man_recliner/6380229.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011594,Namesake Crewe Electronic Recliner and Swivel Glider,glider,Nursery Gliders,unknown,899.0,30.5 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/namesake_crewe_power_recliner/B600011594.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011991,Namesake Crewe Recliner and Swivel Glider,glider,Nursery Gliders,unknown,699.0,30 in.,38 in.,41 in.,,https://www.ashleyfurniture.com/p/namesake_crewe_recliner_and_swivel_glider/B600011991.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012723,Namesake Power Glider Recliner,glider,Nursery Gliders,unknown,1099.0,31.5 in.,40.5 in.,41.5 in.,,https://www.ashleyfurniture.com/p/namesake_power_glider_recliner/B600012723.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012986,Namesake Willa Deluxe Power Recliner,standard,Nursery Gliders,unknown,1212.44,31.5 in.,40.5 in.,41.5 in.,,https://www.ashleyfurniture.com/p/namesake_willa_deluxe_power_recliner/B600012986.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012984,Namesake Willa Deluxe Power Recliner,standard,Nursery Gliders,unknown,1599.0,31.5 in.,40.5 in.,41.5 in.,,https://www.ashleyfurniture.com/p/namesake_willa_deluxe_power_recliner/B600012984.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012988,Namesake Willa Plus Power Glider Recliner,glider,Nursery Gliders,unknown,999.0,31.5 in.,40.5 in.,41.5 in.,,https://www.ashleyfurniture.com/p/namesake_willa_plus_power_glider_recliner/B600012988.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012989,Namesake Willa Pro Swivel Power Recliner,glider,Nursery Gliders,unknown,1299.0,31.5 in.,40.5 in.,41.5 in.,,https://www.ashleyfurniture.com/p/namesake_willa_pro_swivel_power_recliner/B600012989.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012991,Namesake Willa Pro Swivel Power Recliner,glider,Nursery Gliders,unknown,898.24,31.5 in.,40.5 in.,41.5 in.,,https://www.ashleyfurniture.com/p/namesake_willa_pro_swivel_power_recliner/B600012991.html,2026-07-19T11:24:42,2026-08-18T08:53:53
9400225,Navi Manual Recliner,standard,Recliners,unknown,499.99,39 in.,41 in.,42 in.,,https://www.ashleyfurniture.com/p/navi_recliner/9400225.html,2026-07-19T11:24:42,2026-08-21T08:47:03
1080329,Nerviano Manual Recliner,standard,Recliners,unknown,299.99,33.5 in.,37 in.,42 in.,,https://www.ashleyfurniture.com/p/nerviano_recliner/1080329.html,2026-07-19T10:47:01,2026-07-19T10:47:01
1080129,Nerviano Manual Recliner,standard,Recliners,unknown,299.99,33.5 in.,37 in.,42 in.,,https://www.ashleyfurniture.com/p/nerviano_recliner/1080129.html,2026-07-19T11:24:42,2026-08-21T08:47:03
4840525,Newellen Manual Recliner,standard,Recliners,unknown,489.99,36 in.,39 in.,40 in.,,https://www.ashleyfurniture.com/p/newellen_recliner/4840525.html,2026-07-19T11:24:42,2026-08-21T08:47:03
8330527,Next Move Manual Glider Recliner,glider,Recliners,unknown,749.99,39 in.,44 in.,43 in.,,https://www.ashleyfurniture.com/p/next_move_glider_recliner/8330527.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6100313,Next-Gen DuraPella Oversized Dual Power Performance Fabric Recliner,standard,Recliners,performance,949.99,47 in.,42 in.,41 in.,,https://www.ashleyfurniture.com/p/next-gen_durapella_power_recliner/6100313.html,2026-07-19T11:24:42,2026-08-21T08:47:03
2200313,Next-Gen DuraPella Performance Fabric Dual Power Recliner,standard,Recliners,performance,1899.99,39 in.,39.5 in.,43 in.,,https://www.ashleyfurniture.com/p/next-gen_durapella_power_recliner/2200313.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5930213,Next-Gen DuraPella Performance Fabric Dual Power Recliner,standard,Recliners,performance,1799.99,41 in.,42 in.,43 in.,,https://www.ashleyfurniture.com/p/next-gen_durapella_power_recliner/5930213.html,2026-07-19T11:24:42,2026-08-21T08:47:03
4070812,Next-Gen DuraPella Performance Fabric Power Lift Recliner,lift,Recliners,performance,899.99,35 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/next-gen_durapella_power_lift_recliner/4070812.html,2026-07-19T11:24:42,2026-08-21T08:47:03
1800412,Oatman Power Lift Recliner,lift,Recliners,unknown,749.99,35 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/oatman_power_lift_recliner/1800412.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1350113,Olcotte Dual Power Leather Recliner,standard,Recliners,leather,899.99,35 in.,41 in.,43 in.,,https://www.ashleyfurniture.com/p/olcotte_power_recliner/U1350113.html,2026-07-19T11:24:42,2026-08-21T08:47:03
8160352,Orlen Oversized Next-Gen Nuvella™ Performance Fabric Manual Recliner,standard,Recliners,performance,449.0,56 in.,43 in.,41 in.,,https://www.ashleyfurniture.com/p/orlen_oversized_recliner/8160352.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600003969,Osaki 3D Champ 2  Massage Chair,standard,Recliners,unknown,2199.0,29.5 in.,59 in.,47 in.,,https://www.ashleyfurniture.com/p/osaki_3d_champ_2__massage_chair/U600003969.html,2026-07-19T11:24:42,2026-08-17T08:12:28
U600003420,Osaki 3D Dreamer V2,standard,Recliners,unknown,2199.0,40 in.,52 in.,70 in.,,https://www.ashleyfurniture.com/p/osaki_3d_dreamer_v2/U600003420.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600001765,Osaki 3D Hamilton LE Adjustable Massage Chair,standard,Recliners,unknown,2199.0,32 in.,66 in.,48.5 in.,,https://www.ashleyfurniture.com/p/ador_3d_hamilton_le_adjustable_massage_chair/U600001765.html,2026-07-19T11:24:42,2026-08-18T08:53:53
U6000463CN,Osaki Master Massage Chair,standard,Recliners,unknown,7999.0,31.5 in.,68 in.,50.5 in.,,https://www.ashleyfurniture.com/p/osaki_master_massage_chair/U6000463CN.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600003423,Osaki OP-4D Ultima,standard,Recliners,unknown,3199.0,29.5 in.,63 in.,48.5 in.,,https://www.ashleyfurniture.com/p/osaki_op-4d_ultima/U600003423.html,2026-07-18T23:07:25,2026-08-21T08:47:03
5400213,Overflow Next-Gen Nuvella™ Performance Fabric Dual Power Recliner,standard,Recliners,performance,1299.99,41 in.,42 in.,42 in.,,https://www.ashleyfurniture.com/p/overflow_power_recliner/5400213.html,2026-07-19T11:24:42,2026-08-21T08:47:03
8400225,Pittsman Manual Rocker Recliner,rocker,Recliners,unknown,499.99,40 in.,43 in.,41 in.,,https://www.ashleyfurniture.com/p/pittsman_recliner/8400225.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5010113,Point Clear Dual Power Recliner,standard,Clearance Furniture,unknown,844.99,40 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/point_clear_power_recliner/5010113.html,2026-07-19T10:47:01,2026-07-19T10:47:01
5260425,Rampant Manual Rocker Recliner,rocker,Recliners,unknown,449.99,38 in.,44 in.,41 in.,,https://www.ashleyfurniture.com/p/rampant_recliner/5260425.html,2026-07-19T10:47:01,2026-08-18T08:53:53
