product_id,name,mechanism,subcategory,material,price,width_in,depth_in,height_in,features,url,first_seen,last_seen
5330625,Trumble Manual Rocker Recliner,rocker,Recliners,unknown,699.99,40 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/trumble_recliner/5330625.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600010542,Tucker Swivel Recliner,glider,Nursery Gliders,unknown,502.99,29.5 in.,38.75 in.,38.75 in.,,https://www.ashleyfurniture.com/p/tucker_swivel_recliner/B600010542.html,2026-07-19T11:24:42,2026-08-21T08:47:03
9860625,Tulen Manual Rocker Recliner,rocker,Recliners,unknown,449.99,39 in.,40 in.,40 in.,,https://www.ashleyfurniture.com/p/tulen_recliner/9860625.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6420213,TwinBrooke Dual Power Recliner,standard,Recliners,unknown,1199.99,41 in.,44 in.,42 in.,,https://www.ashleyfurniture.com/p/twinbrooke_power_recliner/6420213.html,2026-07-19T10:47:01,2026-08-18T08:53:53
8350413,Ultimax Dual Power Recliner,standard,Recliners,unknown,899.99,40 in.,43 in.,41 in.,,https://www.ashleyfurniture.com/p/ultimax_power_recliner/8350413.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5320425,Valeview Next-Gen Nuvella™ Performance Fabric Manual Recliner,standard,Recliners,performance,549.99,35 in.,42 in.,41 in.,,https://www.ashleyfurniture.com/p/valeview_recliner/5320425.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1033098,VonKurt Power Leather Rocker Recliner,rocker,Living Room Reclining Furniture,leather,1199.99,49 in.,43 in.,42 in.,,https://www.ashleyfurniture.com/p/vonkurt_power_recliner/U1033098.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1040013,VonRyan Dual Power Leather Recliner,standard,Recliners,leather,899.99,44 in.,42 in.,42 in.,,https://www.ashleyfurniture.com/p/vonryan_power_recliner/U1040013.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5670413,Warrior Peak Dual Power Recliner,standard,Recliners,unknown,1399.99,40 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/warrior_peak_power_recliner/5670413.html,2026-07-19T10:47:01,2026-08-21T08:47:03
2770425,Whitlock Manual Recliner,standard,Recliners,unknown,529.99,42 in.,40 in.,40 in.,,https://www.ashleyfurniture.com/p/whitlock_recliner/2770425.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6560425,Windstade Manual Recliner,standard,Recliners,unknown,699.99,42 in.,44 in.,42 in.,,https://www.ashleyfurniture.com/p/windstade_recliner/6560425.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6070313,Wolfridge Dual Power Recliner,standard,Recliners,unknown,899.99,39 in.,42 in.,42 in.,,https://www.ashleyfurniture.com/p/wolfridge_power_recliner/6070313.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600001383,Zak Manual Recliner,standard,Recliners,unknown,543.99,32.25 in.,38 in.,40.5 in.,,https://www.ashleyfurniture.com/p/madison_park_aidan_push_back_recliner/U600001383.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600010181,babyGap by Delta Children Cloud Recliner,standard,Nursery Gliders,unknown,379.99,29.25 in.,36 in.,40.25 in.,,https://www.ashleyfurniture.com/p/babygap_by_delta_children_cloud_recliner/B600010181.html,2026-07-19T11:24:42,2026-08-17T08:12:28
B600011997,daVinci Hayden Recliner and Swivel Glider,glider,Nursery Gliders,unknown,399.0,33 in.,36.5 in.,41 in.,,https://www.ashleyfurniture.com/p/davinci_hayden_recliner_and_swivel_glider/B600011997.html,2026-07-19T11:24:42,2026-08-21T08:47:03
