product_id,name,mechanism,subcategory,material,price,width_in,depth_in,height_in,brand,color,url
93605S6-Master,Acklen Place 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sectional,standard,Motion sofas,performance,1699.98,115,71,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/acklen_place_3-piece_power_reclining_sectional/93605S6.html
92706S6-Master,Top Tier 3-Piece Manual Reclining Modular Sectional Sofa Chaise,standard,Motion sofas,fabric,1499.98,128,74,41,Signature Design by Ashley®,Alloy,https://www.ashleyfurniture.com/p/top_tier_3-piece_reclining_sectional_sofa_chaise/92706S6.html
U62606S22-Master,Silverbrooke 3-Piece Leather Dual Power Reclining Modular Sectional with Chaise,standard,Motion sofas,leather,2899.98,130,64,43,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/silverbrooke_3-piece_reclining_sofa_chaise/U62606S22.html
U10330S9-Master,VonKurt 3-Piece Power Leather Reclining Modular Sofa Chaise,standard,Motion sofas,leather,1899.98,101,71,42,Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/vonkurt_3-piece_reclining_sofa_chaise/U10330S9.html
93605S18-Master,Acklen Place 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sofa,standard,Motion sofas,performance,1699.98,115,42,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/acklen_place_3-piece_power_reclining_sectional_sofa/93605S18.html
3860588-Master,Kanlow Manual Reclining Sofa,standard,Motion sofas,fabric,699.99,86,40,40,Signature Design by Ashley®,Honey,https://www.ashleyfurniture.com/p/kanlow_reclining_sofa/3860588.html
6420215-Master,TwinBrooke Dual Power Reclining Sofa,standard,Motion sofas,fabric,1399.99,89,44,42,Signature Design by Ashley®,Black,https://www.ashleyfurniture.com/p/twinbrooke_power_reclining_sofa/6420215.html
65906S22-Master,ModMax II 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sofa Chaise,standard,Motion sofas,performance,1899.97,118,66,42,Signature Design by Ashley®,Salt and Pepper,https://www.ashleyfurniture.com/p/modmax_ii_3-piece_reclining_sofa_chaise/65906S22.html
8160394,Orlen Next-Gen Nuvella™ Performance Fabric Manual Reclining Loveseat with Console,standard,Motion sofas,performance,699.0,80,43,41,Ashley®,Carbon,https://www.ashleyfurniture.com/p/orlen_reclining_loveseat_with_console/8160394.html
5430494,Evereast Pass Manual Reclining Loveseat with Console,standard,Motion sofas,fabric,799.99,76,40,41,Ashley®,Stone,https://www.ashleyfurniture.com/p/evereast_pass_reclining_loveseat_with_console/5430494.html
3810494,Foreside Next-Gen Nuvella™ Performance Fabric Manual Loveseat with Console,standard,Motion sofas,performance,799.94,76,43,44,Signature Design by Ashley®,Charcoal,https://www.ashleyfurniture.com/p/foreside_reclining_loveseat_with_console/3810494.html
3720394,Laresview Manual Reclining Loveseat with Console,standard,Motion sofas,leather,599.99,81,42,43,Signature Design by Ashley®,Fossil,https://www.ashleyfurniture.com/p/laresview_reclining_loveseat_with_console/3720394.html
U1120418,Healy Pier Dual Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,1699.99,78,40,42.25,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/healy_pier_power_reclining_loveseat_with_console/U1120418.html
U12300S21,Arrington 2-Piece Dual Power Leather Reclining Modular Loveseat,standard,Motion sofas,leather,1799.98,78,40,42,Ashley®,Butternut,https://www.ashleyfurniture.com/p/arrington_2-piece_power_reclining_loveseat/U12300S21.html
