retailer,brand,sku,product,variant,form,material,price,list_price,discount_pct,available,peer_n,price_pctile,role,tees_up_n,tees_up_brands,cheaper_competitors
slumberland,La-Z-Boy,QK1060420,Dorian Reclining Loveseat,Sand,Loveseat,Unspecified,1979.99,3049.99,35.1,Y,174,70.7,Mid-ladder,12,Southern Motion(6); Flexsteel(2); Man-Wah Cheers(2); Ashley(1); Franklin(1),123
slumberland,La-Z-Boy,QK1064419,Trouper Leather Reclining Sofa,Walnut,Sofa,Leather,2299.99,4499.99,48.9,Y,187,86.1,Premium anchor,12,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(2); Ashley(1); Slumberland(1); Franklin(1); Man-Wah Cheers(1),161
slumberland,La-Z-Boy,QK1064429,Trouper Leather Reclining Sofa,Gray,Sofa,Leather,2299.99,4499.99,48.9,Y,187,86.1,Premium anchor,12,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(2); Ashley(1); Slumberland(1); Franklin(1); Man-Wah Cheers(1),161
slumberland,La-Z-Boy,QK1064455,Jay Power Plus Reclining Loveseat,Granite,Loveseat,Unspecified,1979.99,3479.99,43.1,Y,174,70.7,Mid-ladder,12,Southern Motion(6); Flexsteel(2); Man-Wah Cheers(2); Ashley(1); Franklin(1),123
slumberland,La-Z-Boy,QK1064464,Jay Power Plus Reclining Loveseat,Mushroom,Loveseat,Unspecified,1979.99,3479.99,43.1,Y,174,70.7,Mid-ladder,12,Southern Motion(6); Flexsteel(2); Man-Wah Cheers(2); Ashley(1); Franklin(1),123
slumberland,La-Z-Boy,QK1064458,Jay Tri-Power Reclining Loveseat,Granite,Loveseat,Unspecified,2179.99,3979.99,45.2,Y,174,74.7,Mid-ladder,12,Southern Motion(5); Flexsteel(2); Man-Wah Cheers(2); Stone & Leigh Upholstery(1); Ashley(1); Franklin(1),130
slumberland,La-Z-Boy,QK1064467,Jay Tri-Power Reclining Loveseat,Mushroom,Loveseat,Unspecified,2179.99,3979.99,45.2,Y,174,74.7,Mid-ladder,12,Southern Motion(5); Flexsteel(2); Man-Wah Cheers(2); Stone & Leigh Upholstery(1); Ashley(1); Franklin(1),130
steinhafels,La-Z-Boy,815Z21045,Jay Power Headrest Reclining Console Loveseat With Dual Wireless Remotes,C180969 Granite,Loveseat,Unspecified,2999.99,2999.99,,Y,258,84.9,Premium anchor,12,Flexsteel(7); King Hickory(2); [HOMC](1); [OMNA](1); [MOTO](1),219
slumberland,La-Z-Boy,QK1096563,Redwood Tri-Power Rocker Recliner,Ash,Recliner,Unspecified,1769.99,3199.0,44.7,Y,172,82.6,Premium anchor,11,Southern Motion(5); Flexsteel(3); Ultra Comfort(3),142
slumberland,La-Z-Boy,QK1096564,Redwood Tri-Power Rocker Recliner,Mushroom,Recliner,Unspecified,1769.99,3199.0,44.7,Y,172,82.6,Premium anchor,11,Southern Motion(5); Flexsteel(3); Ultra Comfort(3),142
slumberland,La-Z-Boy,QK1082413,Redwood Rocker Recliner,Mushroom,Recliner,Unspecified,1169.99,1599.99,26.9,Y,172,64.5,Mid-ladder,11,Southern Motion(5); Franklin(2); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),111
slumberland,La-Z-Boy,QK1082414,Redwood Rocker Recliner,Ash,Recliner,Unspecified,1169.99,1599.99,26.9,Y,172,64.5,Mid-ladder,11,Southern Motion(5); Franklin(2); Slumberland(1); Flexsteel(1); Kuka Home(1); Man-Wah Cheers(1),111
slumberland,La-Z-Boy,,Morrison Reclining Sofa and Power Recliner,Marble / Marble,Sofa,Unspecified,2499.98,4079.98,38.7,Y,187,87.2,Premium anchor,11,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(3); Ashley(1); Man-Wah Cheers(1),163
slumberland,La-Z-Boy,,Morrison Reclining Sofa and Power Recliner,Marble / Graphite,Sofa,Unspecified,2499.98,4079.98,38.7,Y,187,87.2,Premium anchor,11,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(3); Ashley(1); Man-Wah Cheers(1),163
slumberland,La-Z-Boy,,Morrison Reclining Sofa and Power Recliner,Graphite / Marble,Sofa,Unspecified,2499.98,4079.98,38.7,Y,187,87.2,Premium anchor,11,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(3); Ashley(1); Man-Wah Cheers(1),163
slumberland,La-Z-Boy,,Morrison Reclining Sofa and Power Recliner,Graphite / Graphite,Sofa,Unspecified,2499.98,4079.98,38.7,Y,187,87.2,Premium anchor,11,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(3); Ashley(1); Man-Wah Cheers(1),163
slumberland,La-Z-Boy,QK1042206,Bennett DUO Reclining Sofa,Pewter,Sofa,Unspecified,2599.99,5029.99,48.3,Y,187,88.2,Premium anchor,11,Stone & Leigh Upholstery(4); Flexsteel(3); Southern Motion(3); Ashley(1),165
slumberland,La-Z-Boy,QK1081503,James Leather Reclining Sofa,Walnut,Sofa,Leather,2599.99,3799.99,31.6,Y,187,88.2,Premium anchor,11,Stone & Leigh Upholstery(4); Flexsteel(3); Southern Motion(3); Ashley(1),165
slumberland,La-Z-Boy,QK1081514,James Leather Reclining Console Loveseat,Charcoal,Loveseat,Leather,2699.99,3949.99,31.6,Y,174,81.6,Premium anchor,11,Stone & Leigh Upholstery(3); Southern Motion(3); Flexsteel(3); Ashley(1); Slumberland(1),142
slumberland,La-Z-Boy,QK1081505,James Leather Reclining Console Loveseat,Walnut,Loveseat,Leather,2699.99,3949.99,31.6,Y,174,81.6,Premium anchor,11,Stone & Leigh Upholstery(3); Southern Motion(3); Flexsteel(3); Ashley(1); Slumberland(1),142
slumberland,La-Z-Boy,QK1064456,Jay Power Plus Reclining Console Loveseat,Granite,Loveseat,Unspecified,2099.99,3599.99,41.7,Y,174,73.6,Mid-ladder,11,Southern Motion(4); Flexsteel(2); Man-Wah Cheers(2); Stone & Leigh Upholstery(1); Ashley(1); Franklin(1),128
slumberland,La-Z-Boy,QK1064465,Jay Power Plus Reclining Console Loveseat,Mushroom,Loveseat,Unspecified,2099.99,3599.99,41.7,Y,174,73.6,Mid-ladder,11,Southern Motion(4); Flexsteel(2); Man-Wah Cheers(2); Stone & Leigh Upholstery(1); Ashley(1); Franklin(1),128
slumberland,La-Z-Boy,QK1064450,Morrison Power Plus Reclining Console Loveseat,Graphite,Loveseat,Unspecified,1999.99,3599.99,44.4,Y,174,71.8,Mid-ladder,10,Southern Motion(4); Flexsteel(2); Man-Wah Cheers(2); Ashley(1); Franklin(1),125
slumberland,La-Z-Boy,QK1064444,Morrison Power Plus Reclining Console Loveseat,Marble,Loveseat,Unspecified,1999.99,3599.99,44.4,Y,174,71.8,Mid-ladder,10,Southern Motion(4); Flexsteel(2); Man-Wah Cheers(2); Ashley(1); Franklin(1),125
