product_id,name,mechanism,subcategory,material,width_in,depth_in,height_in,brand,color,url
65906S5-Master,ModMax II 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sectional with Chaise and Audio Console,standard,Motion sofas,performance,103,66,42,Signature Design by Ashley®,Salt and Pepper,https://www.ashleyfurniture.com/p/modmax_ii_3-piece_power_reclining_sectional_with_chaise_and_audio_console/65906S5.html
6420218-Master,TwinBrooke Dual Power Reclining Loveseat with Console,standard,Motion sofas,fabric,78,44,42,Signature Design by Ashley®,Black,https://www.ashleyfurniture.com/p/twinbrooke_power_reclining_loveseat_with_console/6420218.html
3860594-Master,Kanlow Manual Reclining Loveseat with Console,standard,Motion sofas,fabric,75,40,40,Signature Design by Ashley®,Honey,https://www.ashleyfurniture.com/p/kanlow_reclining_loveseat_with_console/3860594.html
U1090018-Master,5Z-Relaxation Dual Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,78,41,43,Signature Design by Ashley®,Coin,https://www.ashleyfurniture.com/p/5z-relaxation_power_reclining_loveseat_with_console/U1090018.html
65906S2-Master,ModMax II 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Loveseat with Audio Console,standard,Motion sofas,performance,103,42,42,Signature Design by Ashley®,Salt and Pepper,https://www.ashleyfurniture.com/p/modmax_ii_3-piece_power_reclining_sectional_with_audio_console/65906S2.html
U6600014-Master,Mosswell Dual Power Leather Reclining Loveseat,standard,Motion sofas,leather,62.5,39.75,42,Ashley®,Toffee,https://www.ashleyfurniture.com/p/mosswell_power_reclining_loveseat/U6600014.html
65906S4-Master,ModMax II 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sectional with Chaise and Console,standard,Motion sofas,performance,103,66,42,Signature Design by Ashley®,Salt and Pepper,https://www.ashleyfurniture.com/p/modmax_ii_3-piece_power_reclining_sectional_with_chaise_and_console/65906S17.html
U62606S3-Master,Silverbrooke 3-Piece Leather Dual Power Reclining Modular Loveseat With Storage Console,standard,Motion sofas,leather,107,40,43,Signature Design by Ashley®,Canyon,https://www.ashleyfurniture.com/p/silverbrooke_3-piece_power_reclining_sectional/U62607S3.html
U10330S6,VonKurt Power Leather Reclining Modular Loveseat,standard,Motion sofas,leather,74,39,42,Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/vonkurt_2-piece_power_reclining_loveseat_sectional/U10330S6.html
U10330S4-Master,VonKurt 3-Piece Power Leather Reclining Modular Sofa with Chaise,standard,Motion sofas,leather,86,71,42,Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/vonkurt_3-piece_power_reclining_sectional_sofa_with_chaise/U10330S4.html
U1420018,Metro Oasis Dual Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,77,41,43,Signature Design by Ashley®,Amber,https://www.ashleyfurniture.com/p/metro_oasis_power_reclining_loveseat_with_console/U1420018.html
65906S21-Master,ModMax II 2-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Loveseat,standard,Motion sofas,performance,84,42,42,Signature Design by Ashley®,Stone,https://www.ashleyfurniture.com/p/modmax_ii_2-piece_reclining_loveseat/65907S21.html
U6000543CN-Master,Relax-A-Lounger Paloma Manual Reclining Loveseat,standard,Motion sofas,fabric,58.3,39.8,37.8,,Light Gray,https://www.ashleyfurniture.com/p/relax-a-lounger_paloma_manual_reclining_loveseat/U6000544CN.html
U6000541CN-Master,Relax-A-Lounger Emerson Manual Reclining Loveseat,standard,Motion sofas,leather,55.9,35.4,39,,Brown,https://www.ashleyfurniture.com/p/relax-a-lounger_emerson_manual_reclining_loveseat/U6000542CN.html
