zip,store_id,store_address,county,geo,whole_milk,milk_2pct,milk_1pct,milk_fatfree,pct_black,pct_white,pct_hisp,median_income,population,class_I_diff_cwt
29575,2887|574,125 Maryport Drive,Horry,urban,2.88,,,,2.9,87.8,3.8,68031.0,19511,6.0
29576,5705|3442,"545 Garden City Connector, Garden City Beach, SC 29576",Georgetown,rural,2.88,,,,1.6,91.8,3.9,65890.0,32817,6.0
29577,2870|5367|5923|2712,3915 N Kings Hwy,Horry,urban,2.88,,,,17.0,66.1,12.4,47107.0,34384,6.0
29582,5087,"550 Highway 17 N, North Myrtle Beach, SC 29582",Horry,rural,2.97,,,,3.2,83.1,9.1,68741.0,19701,6.0
29607,640,1451 Woodruff Rd,Greenville,urban,2.5,,,,26.4,61.9,5.3,65712.0,43466,5.6
29611,641|3192,6134 White Horse Rd,Anderson,urban,2.5,,,,28.2,45.1,20.0,45291.0,32925,5.6
29615,2328|4583,2014 Wade Hampton Blvd,Greenville,urban,2.5,,,,9.5,74.2,7.5,72494.0,39164,5.6
29617,4452,5009 Old Buncombe Road,Greenville,urban,2.5,,,,14.6,57.8,23.2,50976.0,26649,5.6
29621,4443|396,2003 E Greenville St,Anderson,rural,2.88,,,,16.6,74.1,3.2,71438.0,44260,5.6
29624,644,651 Highway 28 Byp,Anderson,rural,2.88,,,,41.9,47.6,7.9,29953.0,14746,5.6
29630,3222,"1286 Eighteen Mile Rd, Central, SC 29630",Anderson,rural,3.26,,,,6.6,77.4,5.0,50864.0,15638,5.6
29631,4445,"680 Old Greenville Hwy, Clemson, SC 29631",Anderson,urban,3.26,,,,7.6,79.0,3.1,50348.0,16313,5.6
29640,631,"115 Rolling Hills Cir, Easley, SC 29640",Pickens,rural,2.5,,,,6.8,82.6,7.4,58980.0,32397,5.6
29646,6887,300 Bypass 25 Ne,Abbeville,rural,2.82,,,,40.8,45.4,11.4,39899.0,28014,5.8
29649,1382,508 Nw Bypass 72,Abbeville,rural,2.82,,,,29.0,63.6,3.0,51155.0,26696,5.8
29650,4145,805 W Wade Hampton Blvd Ste B,Greenville,urban,2.5,,,,8.1,72.7,9.2,91439.0,38725,5.6
29651,2687,14055 E Wade Hampton Blvd,Greenville,rural,2.5,,,,10.6,73.8,9.8,73505.0,53804,5.6
29671,3191,"2637 Gentry Memorial Hwy, Pickens, SC 29671",Pickens,rural,3.82,,,,5.1,89.5,1.4,63430.0,19318,5.6
29678,1123,"1636 Sandifer Blvd, Seneca, SC 29678",Oconee,rural,3.26,,,,16.8,73.7,5.2,45665.0,23359,5.6
29680,5371|2265,1401 West Georgia Rd.,Greenville,urban,2.52,,,,25.1,60.6,7.6,85911.0,33768,5.6
29681,3628,115 Highway 14,Greenville,urban,2.5,,,,11.8,74.1,7.5,104235.0,66168,5.6
29687,1244,"3027 Wade Hampton Blvd, Taylors, SC 29687",Greenville,rural,2.5,,,,11.2,73.3,10.1,71133.0,43398,5.6
29690,5487,"9 Benton Rd, Travelers Rest, SC 29690",Greenville,rural,2.5,,,,8.4,81.2,4.6,63506.0,26362,5.6
29706,1603,"1691 J A Cochran Byp, Chester, SC 29706",Chester,rural,3.82,,,,40.6,54.3,2.7,50942.0,19470,5.8
29707,4237,"10048 Charlotte Hwy, Indian Land, SC 29707",Lancaster,urban,2.62,,,,6.0,79.3,8.6,108322.0,31826,5.8
29708,3733,"1151 Stonecrest Blvd, Tega Cay, SC 29708",York,urban,3.32,,,,8.9,72.3,7.8,125677.0,42028,5.6
29710,5745,"175 Highway 274, Lake Wylie, SC 29710",York,rural,3.82,,,,9.7,80.3,6.3,82554.0,38528,5.6
29715,3359,"500 N Dobys Bridge Road, Fort Mill, SC 29715",York,urban,2.62,,,,12.2,68.9,8.9,103892.0,41581,5.6
29720,1030,"805 Hwy 9 Bypass Wes, Lancaster, SC 29720",Lancaster,rural,3.38,,,,27.9,62.1,6.2,58549.0,52308,5.8
