state,zip,store_id,store_address,county,geo,whole_milk,milk_2pct,milk_1pct,milk_fatfree,pct_black,pct_white,pct_hisp,median_income,population,class_I_diff_cwt
FL,34239,2392,3560 Bee Ridge Rd,Sarasota,urban,3.87,3.87,3.87,3.87,1.8,81.5,12.2,72079.0,14812,7.0
FL,34243,1171,8320 Lockwood Ridge Rd,Manatee,urban,3.64,3.64,3.64,3.64,2.6,77.4,13.0,77236.0,31656,7.0
FL,34266,811,"2725 Se Highway 70, Arcadia, FL 34266",DeSoto,rural,4.02,4.02,4.02,4.02,12.2,49.3,36.7,41328.0,28420,7.0
FL,34287,7221|3387,1100 S Main St,Sarasota,urban,3.52,3.52,3.52,3.52,2.3,80.6,11.8,63657.0,26721,7.0
FL,34293,769,"4150 Tamiami Trl S, Venice, FL 34293",Sarasota,urban,3.52,3.52,3.52,3.52,0.5,90.5,4.8,84110.0,46782,7.0
FL,34432,960,"11012 No. Williams St, Dunnellon, FL 34432",Marion,rural,3.06,3.06,3.06,3.06,2.6,78.6,11.4,45583.0,13029,6.8
FL,34446,1029,"6885 S Suncoast Blvd, Homosassa, FL 34446",Citrus,rural,3.98,3.98,3.98,3.98,0.3,87.0,6.4,57773.0,18668,6.8
FL,34453,1104,"2461 E Gulf To Lake Hwy, Inverness, FL 34453",Citrus,rural,3.12,3.12,3.12,3.12,2.9,85.9,7.4,50803.0,10108,6.8
FL,34461,5772,"1936 N Lecanto Hwy, Lecanto, FL 34461",Citrus,rural,3.98,,,,2.5,89.2,5.8,55170.0,12424,6.8
FL,34470,1847,4980 E Silver Springs Blvd,Marion,urban,3.06,3.06,3.06,3.06,11.8,70.8,10.6,47098.0,20903,6.8
FL,34471,697,2600 Sw 19th Avenue Rd,Marion,urban,2.84,2.84,2.84,2.84,9.4,68.2,16.1,56382.0,26614,6.8
FL,34472,4368,34 Bahia Ave,Marion,rural,3.06,3.06,3.06,3.06,20.5,52.2,23.2,55798.0,32528,6.8
FL,34476,4434,7855 Sw Hwy 200,Marion,rural,3.06,3.06,3.06,3.06,11.1,68.5,15.5,62283.0,25106,6.8
FL,34481,5326,9570 Sw Highway 200,Marion,rural,3.06,,,,6.4,81.2,10.4,50822.0,24113,6.8
FL,34491,2843,"17961 S Us Highway 441, Summerfield, FL 34491",Marion,rural,3.06,,,,5.4,79.4,10.8,64546.0,32062,6.8
FL,34601,3526,7305 Broad St,Citrus,rural,3.26,3.26,3.26,3.26,6.4,80.0,9.1,49856.0,23054,6.8
FL,34606,967,1485 Commercial Way,Hernando,urban,3.26,3.26,3.26,3.26,4.1,72.8,17.9,52274.0,27795,6.8
FL,34609,6207,14344 Spring Hill Drive,Hernando,urban,3.26,3.26,3.26,3.26,5.7,68.1,20.2,71303.0,44696,6.8
FL,34613,1213,13300 Cortez Blvd,Hernando,rural,3.32,3.32,3.32,3.32,2.3,88.9,5.1,53544.0,18071,6.8
FL,34654,2391,8745 Little Road,Pasco,rural,3.26,3.26,3.26,3.26,4.2,80.7,9.8,61517.0,23727,6.8
FL,34655,994,8745 State Road 54,Pasco,rural,3.26,3.26,3.26,3.26,2.5,84.0,7.9,76050.0,45050,6.8
FL,34667,5266,"12610 Us Highway 19, Hudson, FL 34667",Pasco,rural,3.26,3.26,3.26,3.26,1.9,86.3,8.8,49334.0,29836,6.8
FL,34668,1085,"8701 Us Highway 19, Port Richey, FL 34668",Pasco,urban,3.26,3.26,3.26,3.26,3.3,70.7,21.7,43376.0,49271,6.8
FL,34677,2796,"3801 Tampa Rd, Oldsmar, FL 34677",Pinellas,urban,3.26,3.26,3.26,3.26,4.8,72.2,14.5,83034.0,22634,6.8
FL,34684,1513,35404 Us Highway 19 N,Pinellas,urban,3.26,,,,2.7,83.5,7.3,62541.0,27607,6.8
FL,34685,3414,3400 East Lake Rd,Pinellas,urban,3.26,3.26,3.26,3.26,4.8,79.2,9.2,88867.0,17869,6.8
FL,34689,3415,"41232 Us Highway 19 N, Tarpon Springs, FL 34689",Pinellas,urban,3.26,3.26,3.26,3.26,6.0,78.9,10.9,62669.0,27076,6.8
FL,34698,5876,"2102 Main St, Dunedin, FL 34698",Pinellas,urban,3.26,3.26,3.26,3.26,4.1,84.4,6.1,63824.0,37838,6.8
FL,34711,2695,1450 Johns Lake Rd,Lake,urban,3.12,3.12,3.12,3.16,11.2,57.9,20.8,86419.0,66744,6.8
FL,34714,5299,550 Us Highway 27,Lake,rural,3.12,3.12,3.12,3.12,7.3,51.8,34.1,75029.0,25047,6.8
FL,34741,5846,3183 W Vine St,Osceola,urban,3.12,3.12,3.12,3.12,6.1,15.5,73.0,42664.0,54464,6.8
FL,34743,4159,2850 E Osceola Parkway,Osceola,urban,3.12,3.12,3.12,3.12,8.6,9.1,77.7,58871.0,43330,6.8
FL,34744,2881,1471 E Osceola Pkwy,Osceola,urban,3.12,,,,7.5,21.5,64.8,63320.0,60995,6.8
FL,34746,817|5420,4444 W Vine St,Osceola,urban,3.12,3.12,3.12,3.12,13.4,30.2,50.0,65167.0,53653,6.8
FL,34747,5214,2855 N Old Lake Wilson Road,Orange,rural,3.12,3.12,3.12,3.12,6.1,53.7,30.4,81019.0,26021,6.8
FL,34748,800,"2501 Citrus Blvd, Leesburg, FL 34748",Lake,urban,3.06,3.06,3.06,3.06,15.3,64.1,16.6,50953.0,43915,6.8
FL,34759,5250,904 Cypress Pkwy,Osceola,rural,3.12,3.12,3.12,3.12,17.0,22.4,54.9,61644.0,39528,6.8
FL,34761,942,"10500 W Colonial Dr, Ocoee, FL 34761",Orange,urban,3.12,3.12,3.12,3.12,18.4,38.5,31.3,86016.0,46233,6.8
FL,34769,1086,4400 13th St,Osceola,urban,3.12,,,,4.4,52.1,34.9,57378.0,29975,6.8
FL,34772,5265,2125 Nolte Rd,Osceola,rural,3.12,3.12,3.12,3.12,4.7,43.1,46.3,81169.0,32268,6.8
FL,34787,110,"16313 New Independence Parkway, Winter Garden, FL 34787",Lake,urban,3.12,3.12,3.12,3.12,9.2,52.5,23.1,108750.0,86913,6.8
FL,34947,973,"5100 Okeechobee Rd, Fort Pierce, FL 34947",St. Lucie,urban,3.06,3.06,,3.06,54.4,14.4,24.0,39375.0,12992,7.0
FL,34952,929,10855 So. Us Hwy #1,St. Lucie,urban,3.06,3.06,3.06,3.06,10.1,62.4,20.4,57387.0,41779,7.0
FL,34953,4260|5704,1850 Sw Gatlin Blvd,St. Lucie,urban,3.12,3.12,3.12,3.12,19.6,43.2,30.3,79777.0,78558,7.0
FL,34974,814,"2101 S Parrott Ave, Okeechobee, FL 34974",Glades,rural,4.06,4.06,4.06,4.06,1.6,72.7,20.1,48462.0,23601,7.0
FL,34986,7299|3527,902 Sw Saint Lucie West Blvd,St. Lucie,urban,3.06,3.06,3.06,3.06,15.2,61.2,16.1,80350.0,29319,7.0
FL,34997,1087,"4001 Se Federal Hwy, Stuart, FL 34997",Martin,rural,4.12,4.12,4.12,4.12,4.4,74.6,17.1,72963.0,45562,7.0
GA,30004,2941|4436,5200 Windward Pkwy,Cherokee,urban,3.06,3.06,3.06,3.06,10.6,55.3,11.0,136124.0,66406,5.6
GA,30008,5815,2909 Austell Rd Sw Suite 100,Cobb,urban,2.92,2.92,2.92,2.92,42.4,20.2,30.9,68218.0,34331,5.6
GA,30013,2475,"1436 Dogwood Dr Se, Conyers, GA 30013",Newton,rural,3.32,3.32,3.32,3.32,65.8,18.4,7.9,70987.0,25812,5.8
GA,30014,459,10300 Industrial Blvd Ne,Jasper,rural,3.3,3.3,3.3,3.3,32.2,55.2,8.9,68163.0,40892,5.8
GA,30016,4558,4200 Salem Rd,Newton,rural,3.32,3.32,3.32,3.32,59.5,30.4,4.4,70933.0,59179,5.8
GA,30024,3462,"3245 Lawrenceville Suwanee Rd, Suwanee, GA 30024",Forsyth,urban,3.06,3.06,3.06,3.06,10.3,48.0,6.1,135679.0,85442,5.6
GA,30028,7185,3655 Browns Bridge Rd,Cherokee,rural,3.06,3.06,3.06,3.06,1.9,80.8,10.4,126485.0,34549,5.6
GA,30032,3710,3580 Memorial Dr,DeKalb,urban,3.12,3.12,3.12,3.12,75.1,15.2,3.7,54787.0,44682,5.8
GA,30033,3118,2525 N Decatur Rd,DeKalb,urban,3.12,3.12,3.12,3.12,14.4,59.9,5.9,105260.0,30971,5.8
GA,30038,1340|4472,5401 Fairington Rd,DeKalb,urban,3.12,3.12,3.12,3.12,88.4,3.4,2.3,68650.0,41633,5.8
GA,30039,3389,3435 Centerville Hwy,DeKalb,urban,3.06,3.06,3.06,3.06,58.2,21.8,11.3,87792.0,50725,5.8
GA,30041,878|4185,1500 Market Place Blvd,Forsyth,urban,3.12,3.12,3.12,3.12,3.2,64.8,9.0,135591.0,73865,5.6
GA,30044,3074|3388,3059 Lawrenceville Hwy,Gwinnett,urban,3.06,3.06,3.06,3.06,28.1,22.9,31.9,74244.0,100056,5.8
GA,30046,548,630 Collins Hill Rd,Gwinnett,urban,3.06,3.06,3.06,3.06,33.2,27.2,25.6,59225.0,39968,5.8
GA,30047,1373,"4004 Lawrenceville Hwy Nw, Lilburn, GA 30047",Gwinnett,urban,3.06,3.06,3.06,3.06,18.2,34.1,26.9,85985.0,67675,5.8
GA,30052,5252,"4221 Atlanta Hwy, Loganville, GA 30052",Gwinnett,rural,3.12,3.12,3.12,3.12,32.3,50.8,11.5,86512.0,74564,5.8
GA,30060,1181|5390,1785 Cobb Pkwy S,Cobb,urban,2.92,2.92,2.92,2.92,29.0,26.8,38.9,58782.0,39125,5.6
GA,30062,3069|1766,3101 Roswell Road,Cobb,urban,2.96,2.96,2.96,2.96,11.1,65.9,7.3,124665.0,62958,5.6
GA,30064,3611,6520 Earnest Barrett Parkway,Cobb,urban,2.92,,,,21.8,62.3,8.6,114496.0,50997,5.6
GA,30066,937,2795 Chastain Meadows Pkwy,Cobb,urban,2.92,2.92,2.92,2.92,16.1,63.2,9.4,108309.0,60795,5.6
GA,30076,1578,"970 Mansell Rd, Roswell, GA 30076",Fulton,urban,3.12,3.12,3.12,3.12,14.7,54.7,21.7,104658.0,46089,5.8
GA,30078,3072|1720,2912 W Main St,Gwinnett,urban,3.06,3.06,3.06,3.06,34.7,36.2,12.4,87529.0,41998,5.8
GA,30083,3188,5935 Memorial Dr,DeKalb,urban,3.12,3.12,3.12,3.12,77.8,8.0,3.1,51017.0,60937,5.8
GA,30084,3071|2584,3201 Tucker Norcross Rd,DeKalb,urban,3.06,3.06,3.06,3.12,25.1,36.2,19.3,79693.0,39256,5.8
GA,30087,1184,1825 Rockbridge Rd,DeKalb,urban,3.12,3.12,3.12,3.12,63.0,24.0,3.1,92753.0,38858,5.8
GA,30093,3067,"4975 Jimmy Carter Blvd, Norcross, GA 30093",Gwinnett,urban,3.06,3.06,3.06,3.06,26.4,10.0,50.8,48489.0,49072,5.8
GA,30096,2154,"2635 Pleasant Hill Rd, Duluth, GA 30096",Gwinnett,urban,3.12,3.12,3.12,3.12,24.6,29.0,22.7,69705.0,69456,5.8
GA,30101,3748,3826 Cobb Pkwy Nw,Bartow,urban,2.9,2.9,2.9,2.9,19.3,66.0,9.7,103205.0,62284,5.6
GA,30106,1586,"1133 E W Connector, Austell, GA 30106",Cobb,urban,2.92,,,,54.7,25.4,15.6,65447.0,23977,5.6
GA,30110,856,"404 Highway 27 N Byp, Bremen, GA 30110",Carroll,rural,4.02,4.02,4.02,4.02,5.4,87.5,3.7,70577.0,13824,5.6
GA,30114,518,"1550 Riverstone Pkwy, Canton, GA 30114",Cherokee,rural,2.92,2.92,2.92,2.92,7.3,70.9,16.0,93800.0,58021,5.6
GA,30115,5814,"2200 Holly Springs Pkwy, Holly Springs, GA 30115",Cherokee,rural,2.92,,,,5.2,83.4,8.1,109443.0,52512,5.6
GA,30117,722,"1735 S Highway 27, Carrollton, GA 30117",Carroll,rural,3.96,3.96,3.96,3.96,24.6,62.4,9.3,54276.0,37101,5.6
GA,30121,615,"101 Market Place Blvd, Cartersville, GA 30121",Bartow,rural,2.98,2.98,2.98,2.98,13.9,68.9,11.6,73200.0,25593,5.6
GA,30122,3205,"1100 Thornton Rd, Lithia Springs, GA 30122",Cobb,urban,2.96,2.96,2.96,2.96,50.4,21.8,22.0,56196.0,26216,5.6
GA,30125,727,"1585 Rome Hwy, Cedartown, GA 30125",Floyd,rural,4.0,4.0,4.0,4.0,12.2,61.9,21.8,49507.0,23615,5.6
GA,30134,1488,"7001 Concourse Pkwy, Douglasville, GA 30134",Douglas,rural,2.92,2.92,2.92,2.92,46.6,38.4,9.2,68193.0,45121,5.6
GA,30141,618,"4166 Jimmy Lee Smith Pkwy, Hiram, GA 30141",Cobb,rural,2.92,2.92,2.92,2.92,28.9,54.9,8.4,82791.0,25416,5.6
GA,30143,5786,"1100 Old Philadelphia Rd, Jasper, GA 30143",Cherokee,rural,2.89,2.89,3.96,3.96,0.3,92.4,4.1,75567.0,24960,5.6
GA,30152,3471,3105 Cobb Pkwy Nw,Cobb,urban,2.92,2.92,2.92,2.92,15.8,64.4,10.3,119133.0,43865,5.6
GA,30153,4409,"1801 Nathan Dean Byp, Rockmart, GA 30153",Haralson,rural,4.0,4.0,4.0,4.0,12.4,80.9,3.7,53094.0,17470,5.6
GA,30157,3403,"3615 Marietta Hwy, Dallas, GA 30157",Cobb,rural,2.92,,,,12.5,72.7,9.2,84973.0,50946,5.6
GA,30161,5151,825 Cartersville Hwy Se,Bartow,rural,3.52,3.52,3.52,3.52,21.2,68.0,6.3,55496.0,34314,5.6
GA,30180,2732,"600 Carrollton Villa Rica Hwy, Villa Rica, GA 30180",Carroll,rural,4.02,4.02,4.02,4.02,29.4,58.5,6.9,87582.0,42481,5.6
GA,30188,575,12182 Highway 92,Cherokee,urban,2.92,2.92,2.92,2.92,7.7,73.8,9.8,100467.0,64757,5.6
GA,30189,5275,6435 Bells Ferry Rd,Cherokee,urban,2.92,2.92,2.92,2.92,7.2,74.8,12.9,104295.0,40946,5.6
GA,30214,594,"125 Pavilion Pkwy, Fayetteville, GA 30214",Fayette,rural,3.62,3.62,3.62,3.62,51.1,33.8,10.2,84020.0,31483,5.8
GA,30223,932,"1569 N Expressway, Griffin, GA 30223",Henry,rural,3.66,3.66,3.66,3.66,40.9,48.8,5.8,51542.0,36907,5.8
GA,30228,5363,"11465 Tara Blvd, Hampton, GA 30228",Clayton,rural,3.62,3.62,3.62,3.27,62.2,23.8,7.1,78490.0,51378,5.8
GA,30240,614,803 New Franklin Rd,Heard,rural,4.02,4.02,4.02,4.02,29.8,61.7,2.7,57589.0,30332,5.6
GA,30241,2773,955 Lafayette Parkway,Troup,rural,4.02,4.02,4.02,4.02,45.6,46.5,3.8,50647.0,25274,5.6
GA,30248,5709,"4949 Bill Gardner Pkwy, Locust Grove, GA 30248",Butts,rural,3.67,3.67,3.67,3.67,32.1,56.9,8.9,80151.0,31940,5.8
GA,30253,3201,"135 Willow Ln, Mcdonough, GA 30253",Henry,urban,3.67,3.67,3.67,3.67,58.0,24.7,6.6,80697.0,60539,5.8
GA,30260,1047,"6065 Jonesboro Rd, Morrow, GA 30260",Clayton,urban,3.28,3.28,3.28,3.28,51.6,7.7,17.4,53809.0,28576,5.8
GA,30265,494,"1025 Highway 34 E, Newnan, GA 30265",Coweta,rural,3.72,3.72,3.72,3.72,17.3,68.5,8.9,102653.0,37872,5.8
GA,30269,3461,"2717 Highway 54, Peachtree City, GA 30269",Fayette,urban,3.72,3.72,3.72,3.72,8.8,70.2,9.0,110821.0,39341,5.8
GA,30274,787,"7050 Highway 85, Riverdale, GA 30274",Clayton,urban,3.28,3.28,3.28,3.26,73.5,5.2,14.0,50337.0,34479,5.8
GA,30281,745|3402,5600 N Henry Blvd,Clayton,urban,3.46,3.46,3.46,3.46,53.7,29.5,10.5,67855.0,70433,5.8
GA,30286,1112,"855 N Church St, Thomaston, GA 30286",Upson,rural,5.08,5.08,5.08,5.08,27.9,65.5,2.6,48346.0,24156,5.8
GA,30291,855,"4735 Jonesboro Rd, Union City, GA 30291",Fulton,urban,3.28,3.28,3.28,3.28,89.0,4.4,3.6,45290.0,25024,5.8
GA,30294,3609,"2940 Anvil Block Rd, Ellenwood, GA 30294",Clayton,urban,3.28,3.28,3.28,3.28,85.9,5.3,5.7,73608.0,42594,5.8
GA,30314,3008,835 Martin Luther King Jr Drive Nw,Fulton,urban,3.28,3.28,3.28,3.26,78.5,10.5,5.3,32374.0,22835,5.8
