date,series,value
1883-03-16,dutch,3.8462
1883-03-16,france,3.6708
1883-03-23,dutch,3.8462
1883-03-23,france,3.7106
1883-03-30,dutch,3.8462
1883-03-30,france,3.7395
1883-04-06,dutch,3.8462
1883-04-06,france,3.7232
1883-04-13,dutch,3.9062
1883-04-13,france,3.7606
1883-04-20,dutch,3.8462
1883-04-20,france,3.7807
1883-04-27,dutch,3.8462
1883-04-27,france,3.7559
1883-05-04,dutch,3.9062
1883-05-04,france,3.7383
1883-05-11,dutch,3.8462
1883-05-11,france,3.7677
1883-05-18,dutch,3.8462
1883-05-18,france,3.75
1883-05-25,dutch,3.8462
1883-05-25,france,3.7406
1883-06-01,dutch,3.8462
1883-06-01,france,3.743
1883-06-08,dutch,3.8462
1883-06-08,france,3.7712
1883-06-15,dutch,3.8462
1883-06-15,france,3.7748
1883-06-22,dutch,3.8462
1883-06-22,france,3.7999
1883-06-29,dutch,3.8462
1883-06-29,france,3.8047
1883-07-06,dutch,3.9062
1883-07-06,france,3.8144
1883-07-13,dutch,3.9062
1883-07-13,france,3.8047
1883-07-20,dutch,3.9062
1883-07-20,france,3.8083
1883-07-27,dutch,3.9062
1883-07-27,france,3.7963
1883-08-03,dutch,3.9062
1883-08-03,france,3.7313
1883-08-10,dutch,3.9062
1883-08-10,france,3.7267
1883-08-17,dutch,3.9062
1883-08-17,france,3.7465
1883-08-24,dutch,3.8462
1883-08-24,france,3.7688
1883-08-31,dutch,3.8462
1883-08-31,france,3.7535
1883-09-07,dutch,3.8462
1883-09-07,france,3.7618
1883-09-14,dutch,3.8462
1883-09-14,france,3.7618
1883-09-21,dutch,3.9062
1883-09-21,france,3.7843
1883-09-28,dutch,3.9062
1883-09-28,france,3.8059
1883-10-05,dutch,3.9683
1883-10-05,france,3.8647
1883-10-12,dutch,3.9683
1883-10-12,france,3.8573
1883-10-19,dutch,3.9683
1883-10-19,france,3.8314
1883-10-26,dutch,3.9062
1883-10-26,france,3.8412
1883-11-02,dutch,3.9062
1883-11-02,france,3.8474
1883-11-09,dutch,3.9062
1883-11-09,france,3.8635
1883-11-16,dutch,3.8462
1883-11-16,france,3.8585
1883-11-23,dutch,3.8462
1883-11-23,france,3.8499
1883-11-30,dutch,3.8462
1883-11-30,france,3.8835
1883-12-07,dutch,3.8462
1883-12-07,france,3.886
1883-12-14,dutch,3.8462
1883-12-14,france,3.9101
1883-12-21,dutch,3.8462
1883-12-21,france,3.9854
1883-12-28,dutch,3.8462
1883-12-28,france,3.9854
1884-01-04,dutch,3.876
1884-01-04,france,3.9788
1884-01-11,dutch,3.8462
1884-01-11,france,3.9088
1884-01-18,dutch,3.8462
1884-01-18,france,3.9101
1884-01-25,dutch,3.8462
1884-01-25,france,3.8772
1884-02-01,dutch,3.8462
1884-02-01,france,3.881
1884-02-08,dutch,3.8462
1884-02-08,france,3.8948
1884-02-15,dutch,3.8462
1884-02-15,france,3.9229
1884-02-22,dutch,3.8462
1884-02-22,france,3.9409
1884-02-29,dutch,3.8462
1884-02-29,france,3.9331
1884-03-07,dutch,3.8462
1884-03-07,france,3.9293
1884-03-14,dutch,3.8462
1884-03-14,france,3.9139
1884-03-21,dutch,3.8462
1884-03-21,france,3.9735
1884-03-28,dutch,3.8168
1884-03-28,france,3.9578
1884-04-04,dutch,3.8168
1884-04-04,france,3.9164
1884-04-11,dutch,3.7879
1884-04-11,france,3.8961
1884-04-18,dutch,3.7879
1884-04-18,france,3.9012
1884-04-25,dutch,3.7879
1884-04-25,france,3.9126
1884-05-02,dutch,3.7313
1884-05-02,france,3.8302
1884-05-09,dutch,3.7313
1884-05-09,france,3.7999
1884-05-16,dutch,3.7313
1884-05-16,france,3.7999
1884-05-23,dutch,3.7313
1884-05-23,france,3.8095
1884-05-30,dutch,3.7313
1884-05-30,france,3.8047
1884-06-06,dutch,3.7313
1884-06-06,france,3.7963
1884-06-13,dutch,3.7879
1884-06-13,france,3.7903
1884-06-20,dutch,3.7879
1884-06-20,france,3.8265
1884-06-27,dutch,3.7879
1884-06-27,france,3.8822
1884-07-04,dutch,3.6765
1884-07-04,france,3.9422
1884-07-11,dutch,3.6765
1884-07-11,france,3.9318
1884-07-18,dutch,3.7313
1884-07-18,france,3.9075
1884-07-25,dutch,3.6765
1884-07-25,france,3.8936
1884-08-01,dutch,3.6765
1884-08-01,france,3.8685
1884-08-08,dutch,3.6765
1884-08-08,france,3.8543
1884-08-15,dutch,3.6232
1884-08-15,france,3.8119
1884-08-22,dutch,3.6765
1884-08-22,france,3.8326
1884-08-29,dutch,3.7037
1884-08-29,france,3.8132
1884-09-05,dutch,3.7037
1884-09-05,france,3.8241
1884-09-12,dutch,3.7879
1884-09-12,france,3.8083
1884-09-19,dutch,3.7879
1884-09-19,france,3.8119
1884-09-26,dutch,3.8462
1884-09-26,france,3.8363
1884-10-03,dutch,3.8462
1884-10-03,france,3.8302
1884-10-10,dutch,3.8462
1884-10-10,france,3.8375
1884-10-17,dutch,3.8462
1884-10-17,france,3.8474
1884-10-24,dutch,3.8462
1884-10-24,france,3.8363
1884-10-31,dutch,3.8462
1884-10-31,france,3.8351
1884-11-07,dutch,3.8462
1884-11-07,france,3.8119
1884-11-14,dutch,3.8462
1884-11-14,france,3.8339
1884-11-21,dutch,3.7879
1884-11-21,france,3.8095
1884-11-28,dutch,3.7879
1884-11-28,france,3.8011
1884-12-05,dutch,3.7879
1884-12-05,france,3.7819
1884-12-12,dutch,3.7879
1884-12-12,france,3.7903
1884-12-19,dutch,3.7879
1884-12-19,france,3.8265
1884-12-26,dutch,3.7879
1884-12-26,france,3.8107
1885-01-02,dutch,3.6765
1885-01-02,france,3.7915
1885-01-09,dutch,3.7879
1885-01-09,france,3.7688
1885-01-16,dutch,3.8462
1885-01-16,france,3.7712
1885-01-23,dutch,3.8462
1885-01-23,france,3.7465
1885-01-30,dutch,3.8462
1885-01-30,france,3.7559
1885-02-06,dutch,3.8462
1885-02-06,france,3.7083
1885-02-13,dutch,3.8462
1885-02-13,france,3.6878
1885-02-20,dutch,3.8462
1885-02-20,france,3.6832
1885-02-27,dutch,3.8462
1885-02-27,france,3.6731
1885-03-06,dutch,3.8462
1885-03-06,france,3.6652
1885-03-13,dutch,3.8462
1885-03-13,france,3.6619
1885-03-20,dutch,3.7879
1885-03-20,france,3.6765
1885-03-27,dutch,3.7879
1885-03-27,france,3.6991
1885-04-03,dutch,3.7879
1885-04-03,france,3.8437
1885-04-10,dutch,3.7879
1885-04-10,france,3.9229
1885-04-17,dutch,3.7879
1885-04-17,france,3.8511
1885-04-24,dutch,3.8462
1885-04-24,france,3.861
1885-05-01,dutch,3.9062
1885-05-01,france,3.8735
1885-05-08,dutch,3.8462
1885-05-08,france,3.776
1885-05-15,dutch,3.8462
1885-05-15,france,3.7523
1885-05-22,dutch,3.7879
1885-05-22,france,3.736
1885-05-29,dutch,3.7879
1885-05-29,france,3.7302
1885-06-05,dutch,3.7879
1885-06-05,france,3.6585
1885-06-12,dutch,3.7879
1885-06-12,france,3.653
1885-06-19,dutch,3.7313
1885-06-19,france,3.6878
1885-06-26,dutch,3.7313
1885-06-26,france,3.6878
1885-07-03,dutch,3.7879
1885-07-03,france,3.7003
1885-07-10,dutch,3.7879
1885-07-10,france,3.6991
1885-07-17,dutch,3.7879
1885-07-17,france,3.7279
1885-07-24,dutch,3.7879
1885-07-24,france,3.7094
1885-07-31,dutch,3.7313
1885-07-31,france,3.6969
1885-08-07,dutch,3.7313
1885-08-07,france,3.7186
1885-08-14,dutch,3.7313
1885-08-14,france,3.7152
1885-08-21,dutch,3.7313
1885-08-21,france,3.7048
