# First Moroccan Crisis  window=1905-01-07..1906-03-31  (paper n=62)
city                   beta(Lon)      t  beta(2iv)      t    n war
bombay_bank                -0.17  -0.44      -0.19  -0.50   48   7
brussels_bank              -0.00  -0.00      -0.05  -0.18   48   7
brussels_openmkt           -0.37  -1.02      -0.40  -1.12   48   7
christiana_bank            -0.00    nan        nan    nan   48   7
christiana_market          -0.00    nan        nan    nan   48   7
copenhagen_bank            -0.06  -0.72      -0.07  -0.92   48   7
copenhagen_market          -0.00  -0.00       0.00   0.00   48   7
geneva_bank                -0.00  -0.00       0.00   0.00   48   7
geneva_market               0.05   0.72       0.05   0.71   48   7
genoa_bank                 -0.00  -0.00       0.00   0.00   48   7
genoa_openmkt               0.06   0.42       0.10   0.72   48   7
lisbon_bank                -0.00    nan        nan    nan   48   7
lisbon_openmkt             -0.00    nan        nan    nan   48   7
london_60_days_bankers_draft_ask      0.68   3.92       0.86   4.81   48   7
london_60_days_bankers_draft_bid      0.69   4.43       0.86   5.32   48   7
london_bank                 0.42   3.88       0.53   4.70   48   7
london_bank_bills_90_days_ask      0.55   4.50       0.65   5.18   48   7
london_bank_bills_90_days_bid      0.53   4.17       0.64   4.89   48   7
madrid_bank                -0.00    nan        nan    nan   48   7
madrid_openmkt              0.06   0.97      -0.06  -1.24   48   7
new_york_call              -0.44  -0.55      -0.44  -0.55   48   7
paris_bank                  0.17   2.26       0.21   2.84   48   7
paris_openmkt              -0.07  -0.62      -0.05  -0.43   48   7
petersburg_bank            -0.00  -0.00       0.00   0.00   48   7
stockholm_bank              0.17   2.26       0.21   2.84   48   7
stockholm_market            0.34   3.37       0.42   4.13   48   7
vienna_bank                -0.00  -0.00       0.00   0.00   48   7
vienna_openmkt              0.13   0.92       0.08   0.57   48   7

# Full sub-sample  window=1904-03-04..1913-06-13  (paper n=485)
city                   beta(Lon)      t  beta(2iv)      t    n war
amsterdam_bank              0.05   1.64       0.04   1.38  484  29
amsterdam_openmkt           0.09   2.21       0.10   2.48  484  29
berlin_bank                 0.21   5.26       0.22   5.43  484  29
berlin_openmkt              0.35   6.40       0.35   6.49  484  29
bombay_bank                 0.12   1.30       0.09   0.97  484  29
brussels_bank               0.14   4.08       0.14   4.08  484  29
brussels_openmkt            0.18   4.28       0.18   4.36  484  29
christiana_bank             0.05   2.62       0.06   2.88  484  29
christiana_market           0.08   3.27       0.08   3.60  484  29
copenhagen_bank             0.10   4.00       0.11   4.43  484  29
copenhagen_market           0.14   5.60       0.15   6.20  484  29
geneva_bank                 0.03   0.69       0.01   0.37  484  29
geneva_market               0.09   2.82       0.11   3.58  484  29
genoa_bank                  0.00   0.18       0.00   0.19  484  29
genoa_openmkt               0.12   3.84       0.15   4.50  484  29
lisbon_bank                -0.00  -0.92      -0.00  -1.02  484  29
lisbon_openmkt              0.01   0.46       0.01   0.51  484  29
london_60_days_bankers_draft_ask      0.84  24.57       0.89  25.80  484  29
london_60_days_bankers_draft_bid      0.82  23.75       0.87  24.99  484  29
london_bank                 0.53  15.21       0.58  16.48  484  29
london_bank_bills_90_days_ask      0.70  17.26       0.74  18.09  484  29
london_bank_bills_90_days_bid      0.72  17.68       0.76  18.60  484  29
madrid_bank                -0.00    nan        nan    nan  484  29
madrid_openmkt              0.09   2.92       0.12   3.87  484  29
new_york_call              -0.33  -1.06      -0.41  -1.31  484  29
paris_bank                  0.05   3.95       0.05   4.38  484  29
paris_openmkt               0.11   3.46       0.12   3.83  484  29
petersburg_bank            -0.00  -0.00       0.00   0.00  484  29
stockholm_bank              0.08   3.74       0.09   4.11  484  29
stockholm_market            0.12   4.27       0.13   4.63  484  29
vienna_bank                 0.03   1.12       0.03   1.24  484  29
vienna_openmkt              0.13   3.64       0.14   3.86  484  29

